"thu","ngay","dot","ky","n1","n2","n3","n4","n5","n6","dd_cnt","dd_amt","g1_cnt","g1_amt","g2_cnt","g2_amt","g3_cnt","g3_amt","g4_cnt","g4_amt","g5_cnt","g5_amt","kk_cnt","kk_amt","dec0","dec1","dec2","dec3","dbx","dbdd","dd","sc","cam","snt","snt_cnt","xx","ke","t1","g0","p1","mod","sum","dec","dec_ck","cl5","cl5_ck","jpp","qh_ky","qh_hit","qhl","qhc","jpck","jpm_info","jpm_cnt","is_jp","is_chia","is_day","updated_at"
T7,2026-05-09,"2","00630",10,11,15,17,22,4,0,8411695000,0,10000000,12,5000000,72,500000,234,100000,2186,30000,16218,10000,0,4,1,0,X,C,CC,2,"0,3","11-17",2,"11,22",1,0,0,0,,75,"0410",193,CLLLC,16,26,20,"22","22",1,22,"451 (00179: 10-12-15-17-22)",4,false,false,false,2026-05-11 13:11:22.108 +0700
T5,2026-04-23,"1","00597",6,7,26,30,33,5,0,7623157500,0,10000000,6,5000000,44,500000,138,100000,1530,30000,10776,10000,2,0,1,2,Y,L,CL,3,"1","7",1,"33",1,1,1,1,"62",102,"2012",74,CLCCL,119,22,20,"33","33",1,38,"52 (00545: 6-7-10-12-26)",3,false,false,false,2026-05-11 13:11:22.216 +0700
T4,2026-04-22,"2","00596",6,16,17,28,31,10,0,7522260000,0,10000000,3,5000000,81,500000,282,100000,2278,30000,15981,10000,1,2,1,1,Z,C,CL,3,,"17-31",2,,1,1,1,0,"62",98,"1211",26,CCLCL,13,5,20,,"33",1,37,"101 (00495: 15-16-28-31-32)",3,false,false,false,2026-05-11 13:11:22.218 +0700
T4,2026-04-22,"1","00595",1,2,9,17,34,1,0,7372537500,0,10000000,1,5000000,54,500000,87,100000,1603,30000,6517,10000,3,1,0,1,X,L,LC,2,"2","2-17",2,,1,1,0,0,,63,"3101",148,LCLLC,91,11,20,,,0,36,"97 (00498: 1-2-9-24-29)",3,false,false,false,2026-05-11 13:11:22.222 +0700
T3,2026-04-21,"2","00594",4,7,18,19,25,1,0,7192617500,0,10000000,7,5000000,104,500000,146,100000,2822,30000,9529,10000,2,2,1,0,X,L,CL,2,"3","7-19",2,,1,0,0,1,,73,"2210",47,CLCLL,60,10,20,,,0,35,"334 (00260: 1-4-17-18-19)",3,false,false,false,2026-05-11 13:11:22.225 +0700
T3,2026-04-21,"1","00593",3,12,13,30,31,1,0,7008235000,0,10000000,3,5000000,61,500000,99,100000,1663,30000,6959,10000,1,2,0,2,X,L,LL,2,"2","3-13-31",3,,2,0,0,1,"32",89,"1202",30,LCLCL,25,11,20,,,0,34,"10 (00583: 12-14-25-30-31)",3,false,false,false,2026-05-11 13:11:22.239 +0700
T2,2026-04-20,"2","00592",2,6,15,22,28,11,0,6848890000,3,10000000,6,5000000,92,500000,224,100000,2645,30000,15500,10000,2,1,2,0,Z,L,CC,4,"3","2",1,"22",0,2,0,1,"22",73,"2120",26,CCLCC,22,40,20,"2,28","2,28",2,33,"311 (00281: 2-15-21-22-28)",4,false,false,false,2026-05-11 13:11:22.242 +0700
T2,2026-04-20,"1","00591",7,10,14,16,34,1,0,6713695000,0,10000000,4,5000000,82,500000,107,100000,1649,30000,7737,10000,1,3,0,1,X,L,LC,4,"2","7",1,,0,1,0,0,"42",81,"1301",18,LCCCC,25,12,20,,"2,28",2,32,"131 (00460: 10-14-16-20-32)",3,false,false,false,2026-05-11 13:11:22.244 +0700
CN,2026-04-19,"2","00590",3,4,5,8,20,9,0,6592497500,1,10000000,10,5000000,87,500000,234,100000,2076,30000,16836,10000,4,0,1,0,Z,L,LC,3,"1,3","3-5",2,,2,2,1,1,,40,"4010",80,LCLCC,4,16,20,,"2,28",2,31,"16 (00574: 3-6-8-20-35)",3,false,false,false,2026-05-11 13:11:22.247 +0700
CN,2026-04-19,"1","00589",4,10,16,17,21,8,0,6537262500,0,10000000,1,5000000,36,500000,148,100000,1292,30000,11125,10000,1,3,1,0,Y,C,CL,3,"3","17",1,,1,1,1,2,,68,"1310",4,CCCLL,86,22,20,"16","2,16,28",3,30,"92 (00497: 4-10-17-22-26)",3,false,false,false,2026-05-11 13:11:22.249 +0700
T7,2026-04-18,"2","00588",3,17,20,24,35,11,0,6440855000,0,10000000,6,5000000,53,500000,124,100000,1921,30000,11060,10000,1,1,2,1,Z,L,LL,2,,"3-17",2,,0,0,1,2,,99,"1121",8,LLCCL,7,16,20,,"2,16,28",3,29,"14 (00574: 3-6-8-20-35)",3,false,false,false,2026-05-11 13:11:22.252 +0700
T7,2026-04-18,"1","00587",17,19,30,32,34,2,0,6290412500,1,10000000,1,5000000,38,500000,107,100000,1257,30000,8370,10000,0,2,0,3,X,C,LC,3,"0,2","17-19",2,,0,1,0,1,,132,"0203",341,LLCCC,36,16,20,,"2,28",2,28,"118 (00469: 11-17-25-30-32)",3,false,false,false,2026-05-11 13:11:22.256 +0700
T6,2026-04-17,"2","00586",3,4,9,12,18,10,0,6180225000,0,10000000,3,5000000,78,500000,200,100000,2046,30000,14721,10000,3,2,0,0,Z,C,LC,3,"2,3","3",1,,1,2,0,0,,46,"3200",204,LCLCC,21,21,20,"9","2,9",2,27,"135 (00451: 4-9-17-18-35)",3,false,false,false,2026-05-11 13:11:22.259 +0700
T6,2026-04-17,"1","00585",6,10,15,19,22,5,0,6078870000,0,10000000,12,5000000,48,500000,210,100000,1717,30000,12033,10000,1,3,1,0,Y,L,CC,3,"3","19",1,"22",0,0,2,0,,72,"1310",6,CCLLC,30,11,20,,"2",1,26,"341 (00244: 6-7-10-19-22)",4,false,false,false,2026-05-11 13:11:22.263 +0700
T5,2026-04-16,"2","00584",1,10,15,25,27,11,-1,22370500000,2,3785255000,63,64180000,783,5260000,1832,2135000,24243,180000,157245,10000,1,2,2,0,Z,L,LL,1,"3",,0,,0,0,1,1,"52",78,"1220",2,LCLLL,53,6,20,,"2",1,25,"347 (00237: 1-10-14-19-25)",3,false,true,false,2026-05-11 13:11:22.266 +0700
T4,2026-04-15,"1","00581",1,15,20,32,35,8,0,11663197500,2,10000000,6,5000000,56,500000,216,100000,1889,30000,17382,10000,1,1,1,2,Y,C,LL,2,,,0,,0,0,0,2,"52",103,"1112",10,LLCCL,2,12,20,,"2,4",2,22,"30 (00551: 9-15-18-20-32)",3,false,false,true,2026-05-11 13:11:22.275 +0700
T3,2026-04-14,"2","00580",5,19,25,29,31,2,0,10963759000,1,10000000,6,5000000,120,500000,222,100000,3727,30000,15869,10000,1,1,2,1,X,C,LL,0,,"5-19-29-31",4,,0,0,0,0,"52,92",109,"1121",15,LLLLL,21,43,20,"5","2,4,5",3,21,"74 (00506: 20-22-25-29-31)",3,false,false,false,2026-05-11 13:11:22.278 +0700
T3,2026-04-14,"1","00579",7,11,12,14,27,11,0,10098257000,0,10000000,4,5000000,64,500000,205,100000,2060,30000,14346,10000,1,3,1,0,Z,L,LL,2,"3","7-11",2,"11",1,1,2,2,"72",71,"1310",18,LLCCL,23,17,20,,"2,4,5",3,20,"100 (00479: 7-10-11-18-27)",3,false,false,true,2026-05-11 13:11:22.279 +0700
T2,2026-04-13,"2","00578",10,11,12,18,34,3,0,9549834500,0,10000000,5,5000000,88,500000,244,100000,2730,30000,19190,10000,0,4,0,1,X,L,CC,4,"0,2","11",1,"11",2,1,1,0,,85,"0401",79,CLCCC,29,8,20,,"2,4,5",3,19,"17 (00561: 6-10-11-18-25)",3,false,false,false,2026-05-11 13:11:22.281 +0700
T2,2026-04-13,"1","00577",12,15,23,26,32,8,0,8703965500,0,10000000,13,5000000,74,500000,228,100000,1867,30000,14560,10000,0,2,2,1,Y,C,CC,3,"0","23",1,,0,1,0,2,"22",108,"0221",35,CLLCC,56,11,20,,"2,4,5",3,18,"77 (00500: 4-12-15-17-32)",3,false,false,false,2026-05-11 13:11:22.284 +0700
CN,2026-04-12,"2","00576",11,21,22,27,34,12,0,8250123500,0,10000000,8,5000000,71,500000,190,100000,2244,30000,13614,10000,0,1,3,1,Z,C,LC,2,"0","11",1,"11,22",1,1,1,1,"12",115,"0131",8,LLCLC,7,16,20,,"2,4,5",3,17,"33 (00543: 13-21-25-27-34)",3,false,false,false,2026-05-11 13:11:22.287 +0700
CN,2026-04-12,"1","00575",18,23,32,33,34,2,0,7672840000,0,10000000,5,5000000,40,500000,111,100000,1720,30000,9313,10000,0,1,1,3,X,C,CC,3,"0","23",1,"33",2,1,0,0,"32",140,"0113",269,CLCLC,21,6,20,,"2,5",2,16,"6 (00569: 1-7-18-33-34)",3,false,false,false,2026-05-11 13:11:22.290 +0700
T7,2026-05-09,"1","00629",13,20,26,28,33,7,0,8287752500,1,10000000,7,5000000,53,500000,132,100000,1671,30000,12067,10000,0,1,3,1,Y,L,LL,3,"0","13",1,"33",0,1,1,0,"32",120,"0131",8,LCCCL,55,10,20,,"22",1,21,"8 (00621: 10-20-24-26-33)",3,false,false,false,2026-05-11 13:11:22.115 +0700
T6,2026-05-08,"2","00628",2,18,24,26,29,11,0,8203155000,1,10000000,8,5000000,63,500000,223,100000,2353,30000,16319,10000,1,1,3,0,Z,L,CL,4,"3","2-29",2,,0,2,0,1,,99,"1130",2,CCCCL,4,13,20,,"22",1,20,"104 (00524: 12-16-18-26-29)",3,false,false,false,2026-05-11 13:11:22.118 +0700
T6,2026-05-08,"1","00627",1,12,15,19,27,2,0,8066520000,0,10000000,7,5000000,54,500000,127,100000,1476,30000,9547,10000,1,3,1,0,X,C,LL,1,"3","19",1,,0,0,0,1,,74,"1310",24,LCLLL,2,12,20,,"22",1,19,"11 (00616: 1-5-10-12-15)",3,false,false,false,2026-05-11 13:11:22.121 +0700
T5,2026-05-07,"2","00626",3,10,21,24,26,1,0,7952337500,3,10000000,2,5000000,93,500000,137,100000,2240,30000,10472,10000,1,1,3,0,X,L,LC,3,"3","3",1,,0,1,1,1,,84,"1130",25,LCLCC,36,6,20,,"22",1,18,"561 (00065: 3-10-24-26-34)",4,false,false,false,2026-05-11 13:11:22.124 +0700
T5,2026-05-07,"1","00625",1,8,9,21,27,1,0,7776732500,1,10000000,4,5000000,46,500000,124,100000,1611,30000,8635,10000,3,0,2,0,X,L,LL,1,"1,3",,0,,1,1,0,1,"12",66,"3020",108,LCLLL,19,11,20,,"22",1,17,"27 (00598: 1-8-16-21-34)",3,false,false,false,2026-05-11 13:11:22.128 +0700
T4,2026-05-06,"2","00624",4,10,18,20,29,12,0,7642907500,0,10000000,4,5000000,97,500000,178,100000,2544,30000,12742,10000,1,2,2,0,Z,C,CL,4,"3","29",1,,0,0,0,0,"02",81,"1220",1,CCCCL,1,30,20,"18","18",1,16,"42 (00582: 4-13-18-20-26)",3,false,false,false,2026-05-11 13:11:22.131 +0700
T5,2026-04-16,"1","00583",12,14,25,30,31,6,0,13927145000,0,10000000,17,5000000,141,500000,392,100000,4007,30000,26431,10000,0,2,1,2,Y,C,CL,3,"0","31",1,,1,2,0,1,,112,"0212",88,CCLCL,22,13,20,,"2",1,24,"345 (00238: 12-14-25-28-31)",4,false,false,false,2026-05-11 13:11:22.270 +0700
T4,2026-04-15,"2","00582",4,13,18,20,26,11,0,12754961500,1,10000000,12,5000000,159,500000,350,100000,3968,30000,23472,10000,1,2,2,0,Z,L,CC,4,"3","13",1,,0,0,1,0,,81,"1220",10,CLCCC,4,27,20,"4","2,4",2,23,"100 (00482: 8-14-18-20-26)",3,false,false,false,2026-05-11 13:11:22.273 +0700
CN,2026-03-22,"1","00533",5,8,11,12,26,6,0,7072972500,0,10000000,9,5000000,70,500000,169,100000,1876,30000,10037,10000,2,2,1,0,Y,C,LC,3,"3","5-11",2,"11",1,1,0,1,,62,"2210",79,LCLCC,3,11,20,,,0,10,"58 (00475: 5-8-11-13-18)",3,false,false,false,2026-05-11 13:11:22.374 +0700
T7,2026-03-21,"2","00532",7,15,19,27,32,10,0,7006115000,0,10000000,4,5000000,102,500000,225,100000,2338,30000,13692,10000,1,2,1,1,Z,C,LC,1,,"7-19",2,,0,0,0,1,"72",100,"1211",14,LLLLC,7,14,20,,,0,9,"91 (00441: 7-14-15-27-35)",3,false,false,false,2026-05-11 13:11:22.377 +0700
T7,2026-03-21,"1","00531",3,6,11,13,17,3,0,6891237500,0,10000000,5,5000000,46,500000,137,100000,1479,30000,8581,10000,2,3,0,0,X,L,LL,1,"2,3","3-11-13-17",4,"11",0,2,1,1,"32",50,"2300",56,LCLLL,39,11,20,,,0,8,"35 (00496: 3-6-17-20-30)",3,false,false,false,2026-05-11 13:11:22.378 +0700
T6,2026-03-20,"2","00530",5,14,17,18,20,6,0,6795862500,2,10000000,7,5000000,67,500000,155,100000,1983,30000,13641,10000,1,3,1,0,Y,C,LC,3,"3","5-17",2,,1,0,1,0,,74,"1310",46,LCLCC,1,17,20,,,0,7,"15 (00515: 5-16-18-20-25)",3,false,false,true,2026-05-11 13:11:22.380 +0700
T6,2026-03-20,"1","00529",3,14,25,28,32,2,0,6704907500,0,10000000,2,5000000,51,500000,98,100000,1487,30000,8658,10000,1,1,2,1,X,C,LC,3,,"3",1,,0,2,1,0,,102,"1121",8,LCLCC,33,14,20,,,0,6,"25 (00504: 3-18-23-25-32)",3,false,false,false,2026-05-11 13:11:22.382 +0700
T5,2026-03-19,"2","00528",3,15,26,34,35,3,0,6588552500,0,10000000,8,5000000,49,500000,168,100000,1818,30000,13061,10000,1,1,1,2,X,L,LL,2,,"3",1,,1,0,1,1,"52",113,"1112",16,LLCCL,2,28,20,"15","15",1,5,"35 (00493: 1-7-15-34-35)",3,false,false,false,2026-05-11 13:11:22.384 +0700
T4,2026-02-25,"1","00483",11,16,19,21,32,10,0,8078920000,1,10000000,5,5000000,71,500000,193,100000,2229,30000,14067,10000,0,3,1,1,Z,C,LC,2,"0","11-19",2,"11",0,1,0,2,"12",99,"0311",23,LCLLC,8,14,20,,"15,24,34",3,15,"174 (00309: 11-19-24-27-32)",3,false,false,false,2026-05-11 13:11:22.489 +0700
T3,2026-02-24,"2","00482",8,14,18,20,26,7,0,7968140000,1,10000000,8,5000000,108,500000,335,100000,2984,30000,19638,10000,1,2,2,0,Y,L,CC,5,"3",,0,,0,0,1,0,"82",86,"1220",25,CCCCC,22,19,20,,"15,24,34",3,14,"179 (00303: 4-8-14-20-32)",3,false,false,false,2026-05-11 13:11:22.490 +0700
T3,2026-02-24,"1","00481",12,14,22,23,30,9,0,7856897500,0,10000000,2,5000000,67,500000,218,100000,1815,30000,15747,10000,0,2,2,1,Z,L,CC,4,"0","23",1,"22",1,1,1,2,"22",101,"0221",50,CCCLC,53,10,20,,"15,24",2,13,"414 (00067: 12-14-16-22-23)",4,false,false,false,2026-05-11 13:11:22.492 +0700
T2,2026-02-23,"2","00480",7,13,16,22,35,11,0,7743430000,0,10000000,5,5000000,114,500000,255,100000,2843,30000,20781,10000,1,2,1,1,Z,L,LL,2,,"7-13",2,"22",0,0,1,0,,93,"1211",4,LLCCL,6,13,20,,"15,24",2,12,"26 (00454: 7-9-12-13-22)",3,false,false,false,2026-05-11 13:11:22.493 +0700
T2,2026-02-23,"1","00479",7,10,11,18,27,6,0,7478617500,2,10000000,11,5000000,91,500000,306,100000,2720,30000,16448,10000,1,3,1,0,Y,C,LL,2,"3","7-11",2,"11",1,1,0,1,"72",73,"1310",21,LCLCL,26,14,20,,"15,24",2,11,"354 (00125: 7-11-18-20-27)",4,false,false,false,2026-05-11 13:11:22.495 +0700
CN,2026-02-22,"2","00478",2,9,12,16,31,3,0,7408955000,1,10000000,14,5000000,67,500000,234,100000,2559,30000,15847,10000,2,2,0,1,X,L,CL,3,"2","2-31",2,,0,0,1,2,"22",70,"2201",27,CLCCL,90,5,20,,"24",1,10,"2 (00476: 2-16-17-20-31)",3,false,false,false,2026-05-11 13:11:22.497 +0700
CN,2026-02-22,"1","00477",8,9,19,29,30,4,0,7260252500,2,10000000,11,5000000,93,500000,158,100000,2104,30000,10901,10000,2,1,1,1,X,C,CC,2,,"19-29",2,,2,2,0,0,"93",95,"2111",3,CLLLC,51,6,20,,"24",1,9,"11 (00466: 4-8-19-21-30)",3,false,false,false,2026-05-11 13:11:22.500 +0700
T7,2026-02-21,"2","00476",2,16,17,20,31,1,0,7206575000,1,10000000,4,5000000,68,500000,146,100000,2278,30000,11027,10000,1,2,1,1,X,L,CL,3,,"2-17-31",3,,1,1,0,0,,86,"1211",17,CCLCL,3,18,20,,"24",1,8,"61 (00415: 8-17-20-27-31)",3,false,false,false,2026-05-11 13:11:22.502 +0700
T7,2026-02-21,"1","00475",5,8,11,13,18,2,0,6992785000,0,10000000,3,5000000,53,500000,161,100000,1773,30000,10483,10000,2,3,0,0,X,C,LC,2,"2,3","5-11-13",3,"11",0,1,1,0,"82",55,"2300",139,LCLLC,38,12,20,,"24",1,7,"151 (00324: 4-8-11-18-35)",3,false,false,false,2026-05-11 13:11:22.505 +0700
